source;network;scenario_line_data;procedure;optimize_lines;routing_agg;eliminate_subtours;line_repl_allowed;waiting_time_frequency;gap;travel_time_cost_mult;waiting_time_cost_mult;line_operation_cost_mult;num_od;train_capacity;infrastructure_capacity;max_frequency;num_scenarios;cost_repl_freq;cost_repl_line;repl_budget;bypass_multiplier;overdemand_threshold;overdemand_multiplier;status_code;status;objective;runtime_s;cost_time;cost_time_base;cost_time_over;cost_bypass;cost_wait;cost_oper;obj_stage1;obj_stage2_exp;repl_cost_freq_exp;repl_cost_path_exp;repl_cost_exp
lintim;Cross;Cross;integrated;False;True;True;False;False;0;1;2;20;10;10;12;8;2;100;500;-5;-1;1;1;2;OPTIMAL;3212.0;0.042999982833862305;452.0;452.0;0.0;0.0;232.0;1968.0;1300.0;1912.0;560.0;0.0;560.0
lintim;Cross;Cross;separated;False;True;True;False;False;0;1;2;20;10;10;12;8;2;100;500;-5;-1;1;1;2;OPTIMAL;5260.0;0.003000020980834961;260.0;260.0;0.0;0.0;360.0;1840.0;1100.0;4160.0;2800.0;0.0;2800.0
lintim;Cross;Cross;one_stage;False;True;True;False;False;0;1;2;20;10;10;12;8;2;100;500;-5;-1;1;1;2;OPTIMAL;1100.0;0.003999948501586914;100.0;100.0;0.0;0.0;200.0;800.0;1100.0;;;;
lintim;Cross;Cross;integrated;False;True;True;False;False;0;1;2;20;10;10;12;8;2;100;500;-5;-1;1;1;2;OPTIMAL;3212.0;0.04399991035461426;452.0;452.0;0.0;0.0;232.0;1968.0;1300.0;1912.0;560.0;0.0;560.0
lintim;Cross;Cross;separated;False;True;True;False;False;0;1;2;20;10;10;12;8;2;100;500;-5;-1;1;1;2;OPTIMAL;5260.0;0.003000020980834961;260.0;260.0;0.0;0.0;360.0;1840.0;1100.0;4160.0;2800.0;0.0;2800.0
lintim;Cross;Cross;one_stage;False;True;True;False;False;0;1;2;20;10;10;12;8;2;100;500;-5;-1;1;1;2;OPTIMAL;1100.0;0.0019998550415039062;100.0;100.0;0.0;0.0;200.0;800.0;1100.0;;;;
