line;group;nominal;scenario 1;scenario 2
prob;;;0.4;0.6
objective;;75047.92;89046.94999999976;99962.16
cost_time;;26595.819999999992;32233.429999999757;36035.56000000001
cost_wait;;28639.100000000002;34265.600000000006;35422.2
cost_oper;;396.2600000000001;446.7799999999999;560.8600000000001
cost_repl;;;208.92000000000002;461.40000000000003
0;1;3;0.0;6.0
1;1;3;0.0;6.0
2;2;5;5.0;0.0
3;2;5;5.0;0.0
4;3;1;3.0;1.0
5;3;1;3.0;1.0
6;4;4;4.0;3.0
7;4;4;4.0;3.0
8;5;1;2.0;3.0
9;5;1;2.0;3.0
10;6;2;2.0;2.0
11;6;2;2.0;2.0
12;7;1;0.0;2.0
13;7;1;0.0;2.0
14;8;0;2.0;0.0
15;8;0;2.0;0.0
16;9;3;3.0;5.0
17;9;3;3.0;5.0
18;10;1;0.0;0.0
19;10;1;0.0;0.0
20;11;0;0.0;2.0
21;11;0;0.0;2.0
22;12;0;0.0;4.0
23;12;0;0.0;4.0
24;13;1;2.0;0.0
25;13;1;2.0;0.0
26;14;1;3.0;3.0
27;14;1;3.0;3.0
