line;group;nominal;scenario 1;scenario 2
prob;;;0.4;0.6
objective;;38247.04000004536;46753.59;54044.75
cost_time;;11400.540000023686;14809.57;17475.989999999994
cost_wait;;14786.500000021671;17891.899999999994;18673.6
cost_oper;;241.20000000000002;278.52;351.15999999999997
cost_repl;;;126.12;337.16
0;1;3;0.0;5.0
1;1;3;0.0;5.0
2;2;5;5.0;0.0
3;2;5;5.0;0.0
4;3;0;1.0;0.0
5;3;0;1.0;0.0
6;4;3;3.0;2.0
7;4;3;3.0;2.0
8;5;1;1.0;2.0
9;5;1;1.0;2.0
10;6;1;1.0;1.0
11;6;1;1.0;1.0
12;7;0;0.0;1.0
13;7;0;0.0;1.0
14;8;0;2.0;0.0
15;8;0;2.0;0.0
16;9;1;1.0;4.0
17;9;1;1.0;4.0
18;10;0;0.0;0.0
19;10;0;0.0;0.0
20;11;0;0.0;1.0
21;11;0;0.0;1.0
22;12;0;0.0;2.0
23;12;0;0.0;2.0
24;13;0;0.0;0.0
25;13;0;0.0;0.0
26;14;0;2.0;2.0
27;14;0;2.0;2.0
