line;group;nominal;scenario 1;scenario 2
prob;;;0.4;0.6
objective;;44466.13999999999;54603.08000000018;63942.78
cost_time;;14164.640000000003;17793.86000000012;20882.11999999999
cost_wait;;17081.499999999993;21174.300000000054;22104.699999999997
cost_oper;;264.4;309.32;411.15999999999997
cost_repl;;;168.92000000000002;397.96000000000004
0;1;3;0.0;5.0
1;1;3;0.0;5.0
2;2;5;5.0;0.0
3;2;5;5.0;0.0
4;3;0;2.0;1.0
5;3;0;2.0;1.0
6;4;2;3.0;2.0
7;4;2;3.0;2.0
8;5;2;2.0;3.0
9;5;2;2.0;3.0
10;6;1;1.0;1.0
11;6;1;1.0;1.0
12;7;0;0.0;1.0
13;7;0;0.0;1.0
14;8;1;2.0;0.0
15;8;1;2.0;0.0
16;9;1;1.0;4.0
17;9;1;1.0;4.0
18;10;1;0.0;0.0
19;10;1;0.0;0.0
20;11;0;0.0;1.0
21;11;0;0.0;1.0
22;12;0;0.0;3.0
23;12;0;0.0;3.0
24;13;0;0.0;0.0
25;13;0;0.0;0.0
26;14;0;2.0;2.0
27;14;0;2.0;2.0
