edge_id;direction;edge_len;flow_total;flow_line_0;flow_line_1;flow_line_2;flow_line_3;flow_line_4;flow_line_5;flow_line_6;flow_line_7;flow_line_8;flow_line_9;flow_line_10;flow_line_11;flow_line_12;flow_line_13;flow_line_18;flow_line_19;flow_line_20;flow_line_21
1;1-13;4.0;3910.0;0.0;0.0;0.0;0.0;0.0;3910.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;13-1;4.0;3245.0;0.0;0.0;0.0;0.0;3245.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;1-23;2.0;3947.5;0.0;0.0;0.0;3947.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
51;9-13;4.0;1555.0;0.0;0.0;0.0;0.0;1555.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
51;13-9;4.0;1555.0;0.0;0.0;0.0;0.0;0.0;1555.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54;10-15;5.0;3140.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3140.0;0.0;0.0;0.0;0.0;0.0
54;15-10;5.0;3140.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3140.0;0.0;0.0;0.0;0.0
6;23-1;2.0;4305.0;0.0;0.0;4305.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
58;11-22;5.0;1530.0;1530.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
58;22-11;5.0;1530.0;0.0;1530.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
61;12-15;5.0;4680.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2617.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2062.5
61;15-12;5.0;4680.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2617.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2062.5;0.0
62;12-18;5.0;7500.0;0.0;0.0;4750.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2750.0;0.0
62;18-12;5.0;7500.0;0.0;0.0;0.0;4750.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2750.0
63;12-26;5.0;1660.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1660.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
63;26-12;5.0;2460.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2460.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
68;14-19;6.0;482.5;0.0;0.0;0.0;0.0;0.0;0.0;482.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
68;19-14;6.0;790.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
69;15-21;3.0;795.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;795.0;0.0;0.0;0.0;0.0;0.0
69;21-15;3.0;795.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;795.0;0.0;0.0;0.0;0.0
70;15-24;3.0;1545.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1545.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
70;24-15;3.0;1545.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1545.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
76;17-28;3.0;1550.0;0.0;0.0;0.0;0.0;1550.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
76;28-17;3.0;1550.0;0.0;0.0;0.0;0.0;0.0;1550.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
77;17-29;5.0;1880.0;0.0;0.0;0.0;0.0;0.0;1880.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
77;29-17;5.0;1880.0;0.0;0.0;0.0;0.0;1880.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
80;18-23;2.0;6750.0;0.0;0.0;4305.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2445.0;0.0
