line;group;nominal;scenario 1;scenario 2
prob;;;0.4;0.6
objective;;26336.913333319844;32603.286666573887;39575.74500000509
cost_time;;11400.539999997074;14081.249999951577;17475.990000008474
cost_wait;;2876.3733333227697;3898.7166666223065;4204.5949999966
cost_oper;;241.20000000000002;289.72;351.15999999999997
cost_repl;;;137.32;337.15999999999997
0;1;3;0.0;5.0
1;1;3;0.0;5.0
2;2;5;5.0;0.0
3;2;5;5.0;0.0
4;3;0;1.0;0.0
5;3;0;1.0;0.0
6;4;3;3.0;2.0
7;4;3;3.0;2.0
8;5;1;2.0;2.0
9;5;1;2.0;2.0
10;6;1;1.0;1.0
11;6;1;1.0;1.0
12;7;0;0.0;1.0
13;7;0;0.0;1.0
14;8;0;2.0;0.0
15;8;0;2.0;0.0
16;9;1;1.0;4.0
17;9;1;1.0;4.0
18;10;0;0.0;0.0
19;10;0;0.0;0.0
20;11;0;0.0;1.0
21;11;0;0.0;1.0
22;12;0;0.0;2.0
23;12;0;0.0;2.0
24;13;0;0.0;0.0
25;13;0;0.0;0.0
26;14;0;2.0;2.0
27;14;0;2.0;2.0
