line;group;nominal_freq;nominal_path;scenario 1_freq;scenario 1_path;scenario 2_freq;scenario 2_path
prob;;;;0.4;;0.6;
objective;;0.0;;25501.53;;30072.83;
cost_time;;0.0;;4596.77;;5011.889999999999;
cost_wait;;0.0;;1425.7599999999998;;1340.94;
cost_oper;;0.0;;6492.999999999999;;6040.0;
cost_repl;;;;12986.0;;17680.0;
0;1;0;12,11,10,16,18;0.0;12,11,10,16,18;1.0;12,11,10,16,18
1;1;0;18,16,10,11,12;0.0;18,16,10,11,12;1.0;18,16,10,11,12
2;2;0;2,6,8,16,17,19,20;3.0;2,6,8,16,17,19,20;1.0;2,6,8,9,10,16,17,19,20
3;2;0;20,19,17,16,8,6,2;3.0;20,19,17,16,8,6,2;1.0;20,19,17,16,10,9,8,6,2
4;3;0;3,4,5,9,8,7,18;0.0;3,4,5,9,8,7,18;0.0;3,4,5,9,8,7,18
5;3;0;18,7,8,9,5,4,3;0.0;18,7,8,9,5,4,3;0.0;18,7,8,9,5,4,3
6;4;0;1,3,4,11,14,23,24;1.0;1,3,4,11,14,23,24;1.0;1,3,4,11,14,23,24
7;4;0;24,23,14,11,4,3,1;1.0;24,23,14,11,4,3,1;1.0;24,23,14,11,4,3,1
8;5;0;10,15,22,23;1.0;10,15,22,23;1.0;10,15,22,23
9;5;0;23,22,15,10;1.0;23,22,15,10;1.0;23,22,15,10
10;6;0;13,24,21,20;1.0;13,24,21,20;1.0;13,24,21,20
11;6;0;20,21,24,13;1.0;20,21,24,13;1.0;20,21,24,13
12;7;0;12,11,10,9,8,7;0.0;12,11,4,5,9,8,7;0.0;12,11,10,9,8,7
13;7;0;7,8,9,10,11,12;0.0;7,8,9,5,4,11,12;0.0;7,8,9,10,11,12
14;8;0;1,3,12,11,14;1.0;1,3,12,11,14;0.0;1,3,12,11,14
15;8;0;14,11,12,3,1;1.0;14,11,12,3,1;0.0;14,11,12,3,1
16;9;0;6,5,9,10,15,19;0.0;6,5,9,10,15,19;2.0;6,5,9,10,15,19
17;9;0;19,15,10,9,5,6;0.0;19,15,10,9,5,6;2.0;19,15,10,9,5,6
18;10;0;8,16,10,11,14,23;0.0;8,16,10,15,14,23;0.0;8,9,10,11,14,23
19;10;0;23,14,11,10,16,8;0.0;23,14,15,10,16,8;0.0;23,14,11,10,9,8
20;11;0;22,20,18,7,8;0.0;22,20,18,7,8;0.0;22,20,18,7,8
21;11;0;8,7,18,20,22;0.0;8,7,18,20,22;0.0;8,7,18,20,22
22;12;0;13,12,3,1,2;0.0;13,12,3,1,2;0.0;13,12,3,1,2
23;12;0;2,1,3,12,13;0.0;2,1,3,12,13;0.0;2,1,3,12,13
24;13;0;8,16,17,19,15,22,21;0.0;8,16,17,19,15,22,21;0.0;8,16,17,19,15,22,21
25;13;0;21,22,15,19,17,16,8;0.0;21,22,15,19,17,16,8;0.0;21,22,15,19,17,16,8
26;14;0;14,15,19,17,10;1.0;14,15,19,17,10;0.0;14,15,19,17,10
27;14;0;10,17,19,15,14;1.0;10,17,19,15,14;0.0;10,17,19,15,14
